Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,"{Temperature},{Humdity}",Weather Type
0.002638888888888889KM/S,82.0,partly cloudy,1010.82,2,Wentar,3.5,inland,"{""Temperature"": {""value"": 14.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Rainy
8.5,71.0,partly CLOUDY,1011.43,7,Spring,10.0,inland,"{""Temperature"": {""value"": 39.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Cloudy
7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Sunny
1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Sunny
17.0,66.0,overcast,990.67,1,Winter,2.5,mountain,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 74, ""unit"": ""%""}}",Rainy
3.5,26.0,overcast,1010.03,2,Summer,5.0,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 55, ""unit"": ""%""}}",Cloudy
0.0022222222222222222KM/S,86.0,overcast,990.87,1,Winter,4.0,inland,"{""Temperature"": {""value"": -2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 97, ""unit"": ""%""}}",Snowy
6.0,96.0,partly cloudy,984.46,1,Winter,3.5,inland,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 85, ""unit"": ""%""}}",Snowy
6.0,66.0,overcast,999.44,0,Winter,1.0,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Snowy
8.5,107.0,clear,1012.13,8,Winter,7.5,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 74, ""unit"": ""%""}}",Sunny
6.0,86.0,partly cloudy,879.88,2,Spring,1.0,mountain,"{""Temperature"": {""value"": 35.0, ""unit"": ""C""}, ""Humidity"": {""value"": 45, ""unit"": ""%""}}",Cloudy
2000.0M/H,16.0,Clear,1029.16,11,autum,7.5,inland,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 43, ""unit"": ""%""}}",Sunny
10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,"{""Temperature"": {""value"": 12.0, ""unit"": ""C""}, ""Humidity"": {""value"": 59, ""unit"": ""%""}}",Cloudy
15.0,67.0,overcast,986.19,0,Winter,1.5,inland,"{""Temperature"": {""value"": -10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 87, ""unit"": ""%""}}",Snowy
3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 21, ""unit"": ""%""}}",Sunny
6.5,46.0,partly cloudy,1000.44,2,Summer,8.5,mountain,"{""Temperature"": {""value"": 10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 50, ""unit"": ""%""}}",Cloudy
7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 27, ""unit"": ""%""}}",Sunny
0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 51, ""unit"": ""%""}}",Cloudy
0.0001388888888888889KM/S,15.0,Clear,1025.8,9,Spring,6.0,mountain,"{""Temperature"": {""value"": 43.0, ""unit"": ""C""}, ""Humidity"": {""value"": 46, ""unit"": ""%""}}",Sunny
12000.0M/H,72.0,clr,1012.25,4,Summer,8.0,inland,"{""Temperature"": {""value"": 13.0, ""unit"": ""C""}, ""Humidity"": {""value"": 102, ""unit"": ""%""}}",Sunny
8.5,75.0,overcast,991.53,1,Winter,3.0,mountain,"{""Temperature"": {""value"": -10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 67, ""unit"": ""%""}}",Snowy
12.5,98.0,overcast,980.31,1,Winter,3.0,inland,"{""Temperature"": {""value"": -7.0, ""unit"": ""C""}, ""Humidity"": {""value"": 88, ""unit"": ""%""}}",Snowy
7.5,18.0,Clr,1014.29,8,Summer,9.5,mountain,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 36, ""unit"": ""%""}}",Sunny
13.5,29.0,overcast,1012.02,1,It is so hot outside,9.0,inland,"{""Temperature"": {""value"": 26.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Cloudy
7.0,101.0,partly cloudy,1017.94,4,Spring,8.5,mountain,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Cloudy
1.0,85.0,partly CLOUDY,982.53,1,It rains every day....,4.5,inland,"{""Temperature"": {""value"": 4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 79, ""unit"": ""%""}}",Snowy
7500.0M/H,62.0,overcast,1010.16,2,Summer,3.0,mountain,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 72, ""unit"": ""%""}}",Rainy
4.0,12.0,Party cloudy,1020.73,11,Winter,9.5,coastal,"{""Temperature"": {""value"": 40.0, ""unit"": ""C""}, ""Humidity"": {""value"": 57, ""unit"": ""%""}}",Sunny
6.5,3.0,Party cloudy,1018.15,7,Autumn,5.5,mountain,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Sunny
16.0,54.0,partly CLOUDY,1007.75,0,Winter,3.0,mountain,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Rainy
7.0,97.0,overcast,991.07,1,Spring,2.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 85, ""unit"": ""%""}}",Rainy
16.5,63.0,overcast,995.74,0,Winter,1.0,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Snowy
2.5,56.0,overcast,984.63,1,Winter,4.5,inland,"{""Temperature"": {""value"": 4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Snowy
0.006388888888888889KM/S,91.0,overcast,1009.36,13,Winter,2.5,mountain,"{""Temperature"": {""value"": 15.0, ""unit"": ""C""}, ""Humidity"": {""value"": 97, ""unit"": ""%""}}",Rainy
0.0008333333333333334KM/S,15.0,clr,1012.09,10,Winter,5.5,inland,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Sunny
10.0,6.0,clear,1026.81,5,Autumn,7.5,coastal,"{""Temperature"": {""value"": 35.0, ""unit"": ""C""}, ""Humidity"": {""value"": 21, ""unit"": ""%""}}",Sunny
0.007083333333333333KM/S,76.0,partly cloddy,996.17,0,Winter,1.0,mountain,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 90, ""unit"": ""%""}}",Rainy
19.0,109.0,overcast,991.68,7,Winter,3.5,mountain,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 105, ""unit"": ""%""}}",Snowy
1.5,58.0,partly cloddy,1132.2,8,Spring,16.5,mountain,"{""Temperature"": {""value"": -9.0, ""unit"": ""C""}, ""Humidity"": {""value"": 49, ""unit"": ""%""}}",Snowy
11500.0M/H,37.0,partly cloudy,1017.27,3,Autumn,8.0,coastal,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Cloudy
0.5,9.0,partly CLOUDY,1013.99,11,Winter,8.5,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 37, ""unit"": ""%""}}",Sunny
1.0,0.0,clr,1028.63,10,Summer,5.5,mountain,"{""Temperature"": {""value"": 36.0, ""unit"": ""C""}, ""Humidity"": {""value"": 22, ""unit"": ""%""}}",Sunny
15.0,39.0,partly cloddy,1018.86,3,Winter,8.5,mountain,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Cloudy
2.0,18.0,partly cloudy,1028.55,8,Autumn,8.0,mountain,"{""Temperature"": {""value"": 42.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Sunny
0.002777777777777778KM/S,11.0,clear,1019.41,11,Spring,6.0,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 43, ""unit"": ""%""}}",Sunny
0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 50, ""unit"": ""%""}}",Sunny
9.0,18.0,partly CLOUDY,1014.34,3,Autumn,6.0,mountain,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Cloudy
